title,imdb,releaseDate,lastWatched,watched,favorite,notes
Close-Up,,1990,,NO,,
Closely Watched Trains,,1966,,NO,,
Clue,,1985,,NO,,
Clueless,,1995,,NO,,
Code of Silence,,1985,,NO,,
Code Unknown,,2000,,NO,,
Coherence,,2013,,NO,,
Collateral,,2004,,NO,,
Colossus: The Forbin Project,,1970,,NO,,
Come Drink with Me,,1966,,NO,,
Coming Home,,1978,,NO,,
Conan the Barbarian,,1982,,NO,,
Confessions,,2010,,NO,,
Contempt,,1963,,NO,,
Control,,2007,,NO,,
Cool Hand Luke,,1967,,NO,,
Coonskin,,1975,,NO,,
Crash,,2004,,NO,,
Crayon Shin-chan: Fierceness That Invites Storm! The Adult Empire Strikes Back,,2001,,NO,,
Creepshow,,1982,,NO,,
Creepshow 2,,1987,,NO,,
Cría cuervos…,,1976,,NO,,
Cries and Whispers,,1972,,NO,,
Crimes and Misdemeanors,,1989,,NO,,
"Crouching Tiger, Hidden Dragon",,2000,,NO,,
Crumb,,1994,,NO,,
Cry-Baby,,1990,,NO,,
Cyclo,,1995,,NO,,
Daisies,,1966,,NO,,
Dallas Buyers Club,,2013,,NO,,
"Dance, Girl, Dance",,1940,,NO,,
Dancer in the Dark,,2000,,NO,,
Dances with Wolves,,1990,,NO,,
Dangerous Liaisons,,1988,,NO,,
Dark Star,,1974,,NO,,
Darkest Hour,,2017,,NO,,
Darkman,,1990,,NO,,
Das Boot,,1981,,NO,,
David Holzman's Diary,,1967,,NO,,
Dawn of the Dead,,1978,,NO,,
Dawn of the Dead,,2004,,NO,,
Dawson City: Frozen Time,,2017,,NO,,
Day for Night,,1973,,NO,,
Day of the Dead,,1985,,NO,,
Day of Wrath,,1943,,NO,,
Days of Heaven,,1978,,NO,,
Dead Man,,1995,,NO,,
Dead Man,,1995,,NO,,
Dead Man Walking,,1995,,NO,,
Dead Ringers,,1988,,NO,,
Death Race 2000,,1975,,NO,,
Decalogue I,,1989,,NO,,
Deconstructing Harry,,1997,,NO,,
Deep End,,1971,,NO,,
Deewaar,,1975,,NO,,
Delicatessen,,1991,,NO,,
Deliver Us from Evil,,2006,,NO,,
Deliverance,,1972,,NO,,
Demonlover,,2002,,NO,,
Demons,,1985,,NO,,
Departures,,2008,,NO,,
Dersu Uzala,,1975,,NO,,
Deseret,,1995,,NO,,
Destry Rides Again,,1939,,NO,,
Detour,,1945,,NO,,
Diabolique,,1955,,NO,,
Diamonds Are Forever,,1971,,NO,,
Diary of a Country Priest,,1951,,NO,,
Diary of the Dead,,2008,,NO,,
Die Another Day,,2002,,NO,,
Diggstown,,1992,,NO,,
Dilwale Dulhania Le Jayenge,,1995,,NO,,
Diner,,1982,,NO,,
Dirty Work,,1998,,NO,,
Distant,,2002,,NO,,
"Distant Voices, Still Lives",,1988,,NO,,
Diva,,1981,,NO,,
Django,,1966,,NO,,
Do the Right Thing,,1989,,NO,,
Doctor Zhivago,,1965,,NO,,
Dodsworth,,1936,,NO,,
Dog Star Man: Part I,,1963,,NO,,
Dogville,,2003,,NO,,
Don't Answer the Phone!,,1980,,NO,,
Don't Look Now,,1973,,NO,,
Donnie Brasco,,1997,,NO,,
Double Indemnity,,1944,,NO,,
Double Team,,1997,,NO,,
Down by Law,,1986,,NO,,
"Dr. Mabuse, the Gambler",,1922,,NO,,
Dr. No,,1962,,NO,,
Dr. Phibes Rises Again,,1972,,NO,,
Dracula,,1931,,NO,,
Dracula,,1958,,NO,,
Dragon Ball Z: Gather Together! Goku's World,,1992,,NO,,
Drop Dead Fred,,1991,,NO,,
Drowning by Numbers,,1988,,NO,,
Drugstore Cowboy,,1989,,NO,,
Duck Soup,,1933,,NO,,
Earth,,1930,,NO,,
Earth Girls Are Easy,,1988,,NO,,
East of Eden,,1955,,NO,,
Eastern Promises,,2007,,NO,,
Easy Rider,,1969,,NO,,
Eating Raoul,,1982,,NO,,
Ed Wood,,1994,,NO,,
El Norte,,1983,,NO,,
El Topo,,1970,,NO,,
Election,,1999,,NO,,
Elephant,,2003,,NO,,
Elite Squad: The Enemy Within,,2010,,NO,,
Elizabeth,,1998,,NO,,
Empire of the Sun,,1987,,NO,,
Enter the Dragon,,1973,,NO,,
Entranced Earth,,1967,,NO,,
Eraserhead,,1978,,NO,,
Escape From Alcatraz,,1979,,NO,,
Europa Europa,,1990,,NO,,
Europe '51,,1952,,NO,,
Event Horizon,,1997,,NO,,
Evil Dead II,,1987,,NO,,
Exodus,,1960,,NO,,
Exotica,,1994,,NO,,
Expelled from Paradise,,2014,,NO,,
Explorers,,1985,,NO,,
Eyes Without a Face,,1960,,NO,,
F for Fake,,1973,,NO,,
Faces,,1968,,NO,,
Faces of Death,,1978,,NO,,
Fahrenheit 9/11,,2004,,NO,,
Fanny and Alexander,,1982,,NO,,
Fantasia,,1940,,NO,,
Fantastic Planet,,1973,,NO,,
Far from Heaven,,2002,,NO,,
Farewell My Concubine,,1993,,NO,,
"Fast, Cheap & Out of Control",,1997,,NO,,
"Faster, Pussycat! Kill! Kill!",,1965,,NO,,
Fat City,,1972,,NO,,
Fat Girl,,2001,,NO,,
Fatal Attraction,,1987,,NO,,
Faust,,1926,,NO,,
Fearless,,2006,,NO,,
Fellini Satyricon,,1969,,NO,,
Femme Fatale,,2002,,NO,,
Fiddler on the Roof,,1971,,NO,,
Fido,,2006,,NO,,
Field of Dreams,,1989,,NO,,
Final Fantasy VII: Advent Children,,2005,,NO,,
Finding Neverland,,2004,,NO,,
Fires Were Started,,1943,,NO,,
Fireworks,,1997,,NO,,
Fish Tank,,2009,,NO,,
Fitzcarraldo,,1982,,NO,,
Flaming Creatures,,1963,,NO,,
Flash Gordon,,1980,,NO,,
Floating Weeds,,1959,,NO,,
Foolish Wives,,1922,,NO,,
Footlight Parade,,1933,,NO,,
For Your Eyes Only,,1981,,NO,,
Forbidden Games,,1952,,NO,,
Forbidden Planet,,1956,,NO,,
Forbidden Zone,,1980,,NO,,
Force of Evil,,1948,,NO,,
Four Weddings and a Funeral,,1994,,NO,,
Fox and His Friends,,1975,,NO,,
Frances Ha,,2013,,NO,,
Frankenhooker,,1990,,NO,,
Frankenstein,,1931,,NO,,
Freaks,,1932,,NO,,
Free State of Jones,,2016,,NO,,
Frenzy,,1972,,NO,,
Fritz the Cat,,1972,,NO,,
From Here to Eternity,,1953,,NO,,
From Russia with Love,,1963,,NO,,
From Up on Poppy Hill,,2011,,NO,,
Frost/Nixon,,2008,,NO,,
Fruitvale Station,,2013,,NO,,
Fullmetal Alchemist The Movie: Conqueror of Shamballa,,2005,,NO,,
Funny Games,,1997,,NO,,
Gabbeh,,1996,,NO,,
Galaxy of Terror,,1981,,NO,,
Gallipoli,,1981,,NO,,
Gangs of Wasseypur - Part 1,,2012,,NO,,
Garden State,,2004,,NO,,
Gaslight,,1944,,NO,,
Gattaca,,1997,,NO,,
Gemini Man,,2019,,NO,,
Gentlemen Prefer Blondes,,1953,,NO,,
Gertrud,,1964,,NO,,
Get Carter,,1971,,NO,,
Get Carter,,2000,,NO,,
Get Crazy,,1983,,NO,,
Get Out,,2017,,NO,,
Ghost World,,2001,,NO,,
Giant,,1956,,NO,,
Gigi,,1958,,NO,,
Gilda,,1946,,NO,,
Gimme Shelter,,1970,,NO,,
Ginger Snaps,,2000,,NO,,
Gleaming the Cube,,1989,,NO,,
Glory,,1989,,NO,,
Gold Diggers of 1933,,1933,,NO,,
GoldenEye,,1995,,NO,,
Goldfinger,,1964,,NO,,
Gomorrah,,2008,,NO,,
Gone Baby Gone,,2007,,NO,,
Gone with the Wind,,1939,,NO,,
Good Bye Lenin!,,2003,,NO,,
"Good Night, and Good Luck.",,2005,,NO,,
Gosford Park,,2001,,NO,,
Grand Illusion,,1937,,NO,,
Gravity,,2013,,NO,,
Grease,,1978,,NO,,
Great Expectations,,1946,,NO,,
Greed,,1925,,NO,,
Green Book,,2018,,NO,,
Grey Gardens,,2009,,NO,,
Grindhouse,,2007,,NO,,
Grosse Pointe Blank,,1997,,NO,,
Guardians of the Galaxy,,2014,,NO,,
Guess Who's Coming to Dinner,,1967,,NO,,
Gummo,,1997,,NO,,
Gun Crazy,,1950,,NO,,
Gunda,,1998,,NO,,
Gunfight at the O.K. Corral,,1957,,NO,,
Gunga Din,,1939,,NO,,
Guys and Dolls,,1955,,NO,,
Hachi: A Dog's Tale,,2009,,NO,,
Haider,,2014,,NO,,
Half Nelson,,2006,,NO,,
Halfon Hill Doesn't Answer,,1976,,NO,,
Halloween,,1978,,NO,,
Halloween: The Curse of Michael Myers,,1995,,NO,,
Hamlet,,1996,,NO,,
Hannah and Her Sisters,,1986,,NO,,
Happiness,,1998,,NO,,
Happy Together,,1997,,NO,,
Harakiri,,1962,,NO,,
Hard Boiled,,1992,,NO,,
Hard Target,,1993,,NO,,
Hardware,,1990,,NO,,
Harold and Maude,,1971,,NO,,
Harrison Bergeron,,1995,,NO,,
Harvey,,1950,,NO,,
Häxan,,1922,,NO,,
Head-On,,2004,,NO,,
Headhunters,,2011,,NO,,
Hearts and Minds,,1974,,NO,,
Hearts of Darkness: A Filmmaker's Apocalypse,,1991,,NO,,
Heathers,,1989,,NO,,
Heavenly Creatures,,1994,,NO,,
Heavy Metal,,1981,,NO,,
Hedwig and the Angry Inch,,2001,,NO,,
Hellboy,,2004,,NO,,
Hellboy II: The Golden Army,,2008,,NO,,
Hellraiser,,1987,,NO,,
Henry V,,1944,,NO,,
Henry: Portrait of a Serial Killer,,1986,,NO,,
Hero,,2002,,NO,,
High and Low,,1963,,NO,,
High Fidelity,,2000,,NO,,
High Noon,,1952,,NO,,
High Plains Drifter,,1973,,NO,,
High School,,1968,,NO,,
High Sierra,,1941,,NO,,
High Society,,1956,,NO,,
Highway to Hell,,1991,,NO,,
Hill 24 Doesn't Answer,,1955,,NO,,
Hiroshima Mon Amour,,1959,,NO,,
His Girl Friday,,1940,,NO,,
Hobo with a Shotgun,,2011,,NO,,
Hocus Pocus,,1993,,NO,,
Hold Me While I'm Naked,,1966,,NO,,
Hombre,,1967,,NO,,
Hoop Dreams,,1994,,NO,,
Hoosiers,,1986,,NO,,
Hotarubi no Mori e,,2011,,NO,,
Hotel Rwanda,,2004,,NO,,
Hôtel Terminus: The Life and Times of Klaus Barbie,,1988,,NO,,
Hour of the Wolf,,1968,,NO,,
House,,1977,,NO,,
House of Flying Daggers,,2004,,NO,,
Housekeeping,,1987,,NO,,
How Green Was My Valley,,1941,,NO,,
Hud,,1963,,NO,,
Hugo,,2011,,NO,,
Hunger,,2008,,NO,,
Hungry Wives,,1972,,NO,,
I ♥ Huckabees,,2004,,NO,,
I Am a Fugitive from a Chain Gang,,1932,,NO,,
I Am Cuba,,1964,,NO,,
I Bury the Living,,1958,,NO,,
I Drink Your Blood,,1970,,NO,,
I Even Met Happy Gypsies,,1967,,NO,,
I Know Where I'm Going!,,1945,,NO,,
I Saw the Devil,,2010,,NO,,
I Walked with a Zombie,,1943,,NO,,
"I, Daniel Blake",,2016,,NO,,
I've Always Liked You,,2016,,NO,,
Ichi the Killer,,2001,,NO,,
Ida,,2013,,NO,,
if....,,1968,,NO,,
Ikiru,,1952,,NO,,
In a Lonely Place,,1950,,NO,,
In America,,2003,,NO,,
In Bruges,,2008,,NO,,
In the Bedroom,,2001,,NO,,
In the Company of Men,,1997,,NO,,
In the Heat of the Night,,1967,,NO,,
In the Loop,,2009,,NO,,
In the Mood for Love,,2000,,NO,,
In the Realm of the Senses,,1976,,NO,,
In the Year of the Pig,,1969,,NO,,
Incendies,,2010,,NO,,
India Song,,1975,,NO,,
Infernal Affairs,,2002,,NO,,
Inland Empire,,2006,,NO,,
Inside,,2007,,NO,,
Inside Job,,2010,,NO,,
Inside Llewyn Davis,,2013,,NO,,
Inside Man,,2006,,NO,,
Insomnia,,2002,,NO,,
Into the Wild,,2007,,NO,,
Intolerance: Love's Struggle Throughout the Ages,,1916,,NO,,
Invasion of the Body Snatchers,,1956,,NO,,
Ip Man,,2008,,NO,,
Ip Man 2,,2010,,NO,,
Irma Vep,,1996,,NO,,
Irreversible,,2002,,NO,,
It Happened One Night,,1934,,NO,,
It's a Gift,,1934,,NO,,
It's Alive,,1974,,NO,,
"Ivan the Terrible, Part I",,1945,,NO,,
"Ivan the Terrible, Part II: The Boyars' Plot",,1958,,NO,,
Ivan's Childhood,,1962,,NO,,
Jackie,,2016,,NO,,
Jean de Florette,,1986,,NO,,
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",,1975,,NO,,
Jezebel,,1938,,NO,,
JFK,,1991,,NO,,
Johnny Got His Gun,,1971,,NO,,
Johnny Guitar,,1954,,NO,,
Journey to Italy,,1954,,NO,,
Judge Priest,,1934,,NO,,
Judgment at Nuremberg,,1961,,NO,,
Jules and Jim,,1962,,NO,,
Juliet of the Spirits,,1965,,NO,,
Kagemusha,,1980,,NO,,
Kaminey,,2009,,NO,,
Kandahar,,2001,,NO,,
Key Largo,,1948,,NO,,
Kick-Ass,,2010,,NO,,
Kick-Ass 2,,2013,,NO,,
Kids,,1995,,NO,,
Kids in the Hall: Brain Candy,,1996,,NO,,
Kill the Messenger,,2014,,NO,,
Killer of Sheep,,1978,,NO,,
Kind Hearts and Coronets,,1949,,NO,,
King Kong,,1933,,NO,,
King of New York,,1990,,NO,,
Kippur,,2000,,NO,,
Kiss Kiss Bang Bang,,2005,,NO,,
Kiss Me Deadly,,1955,,NO,,
KISS Meets the Phantom of the Park,,1978,,NO,,
Kiss of the Spider Woman,,1985,,NO,,
Kite,,1998,,NO,,
Klute,,1971,,NO,,
Knife in the Water,,1962,,NO,,
Koyaanisqatsi,,1982,,NO,,
Kramer vs. Kramer,,1979,,NO,,
Krull,,1983,,NO,,
Kundun,,1997,,NO,,
L.A. Confidential,,1997,,NO,,
L'Âge d'Or,,1930,,NO,,
L'Argent,,1983,,NO,,
L'Atalante,,1934,,NO,,
L'Avventura,,1960,,NO,,
L'Eclisse,,1962,,NO,,
La Belle Noiseuse,,1991,,NO,,
La Chienne,,1931,,NO,,
La Dolce Vita,,1960,,NO,,
La Haine,,1995,,NO,,
La Jetée,,1962,,NO,,
La La Land,,2016,,NO,,
La Notte,,1961,,NO,,
La Roue,,1923,,NO,,
La Strada,,1954,,NO,,
La Vie en Rose,,2007,,NO,,
Lady Macbeth,,2016,,NO,,
Land of the Dead,,2005,,NO,,
Land Without Bread,,1933,,NO,,
Landscape in the Mist,,1988,,NO,,
Lantana,,2001,,NO,,
Laserblast,,1978,,NO,,
Last Chants for a Slow Dance,,1977,,NO,,
Last Tango in Paris,,1972,,NO,,
Last Year at Marienbad,,1961,,NO,,
Late Spring,,1949,,NO,,
Laura,,1944,,NO,,
Lawrence of Arabia,,1962,,NO,,
Le Cercle Rouge,,1970,,NO,,
Le Havre,,2011,,NO,,
Le Jour Se Lève,,1939,,NO,,
Le Million,,1931,,NO,,
Le Samouraï,,1967,,NO,,
Le Trou,,1960,,NO,,
Leaving Las Vegas,,1995,,NO,,
Legend,,1985,,NO,,
Lemon Popsicle,,1978,,NO,,
Les Vampires,,1915,,NO,,
Let the Right One In,,2008,,NO,,
Let's Scare Jessica to Death,,1971,,NO,,
Letter from an Unknown Woman,,1948,,NO,,
Letters from Iwo Jima,,2006,,NO,,
Leviathan,,2014,,NO,,
Licence to Kill,,1989,,NO,,
Life Is Beautiful,,1997,,NO,,
Lifeforce,,1985,,NO,,
"Like Father, Like Son",,2013,,NO,,
Lilya 4-ever,,2002,,NO,,
Limite,,1931,,NO,,
Lincoln,,2012,,NO,,
Little Big Man,,1970,,NO,,
Little Caesar,,1931,,NO,,
Little Children,,2006,,NO,,
Little Miss Sunshine,,2006,,NO,,
Live and Become,,2005,,NO,,
Live and Let Die,,1973,,NO,,
Live Free or Die Hard,,2007,,NO,,
Living in Oblivion,,1995,,NO,,
Local Hero,,1983,,NO,,
"Lock, Stock and Two Smoking Barrels",,1998,,NO,,
Logan's Run,,1976,,NO,,
Lola,,1961,,NO,,
Lola Montès,,1955,,NO,,
Lone Star,,1996,,NO,,
Lost Highway,,1997,,NO,,
Louisiana Story,,1948,,NO,,
Loulou,,1980,,NO,,
Love and Death,,1975,,NO,,
Love Jones,,1997,,NO,,
Love Me Tonight,,1932,,NO,,
Love Streams,,1984,,NO,,
Loving Vincent,,2017,,NO,,
Lucia,,1968,,NO,,
Lupin the Third: The Castle of Cagliostro,,1979,,NO,,
M,,1931,,NO,,
Magnolia,,1999,,NO,,
Major Payne,,1995,,NO,,
Make Way for Tomorrow,,1937,,NO,,
Malcolm X,,1992,,NO,,
Man Bites Dog,,1992,,NO,,
Man of Iron,,1981,,NO,,
Man of Marble,,1977,,NO,,
Man of the West,,1958,,NO,,
Man with a Movie Camera,,1929,,NO,,
Manhattan,,1979,,NO,,
Manhunter,,1986,,NO,,
Maniac Cop,,1988,,NO,,
Manila in the Claws of Light,,1975,,NO,,
Manon of the Spring,,1986,,NO,,
Manos: The Hands of Fate,,1966,,NO,,
Maquia: When the Promised Flower Blooms,,2018,,NO,,
Marketa Lazarová,,1967,,NO,,
Marnie,,1964,,NO,,
Married to the Mob,,1988,,NO,,
Mars Attacks!,,1996,,NO,,
Martin,,1977,,NO,,
Marty,,1955,,NO,,
Mary and Max,,2009,,NO,,
Mary and The Witch's Flower,,2017,,NO,,
Masculin Féminin,,1966,,NO,,
Master and Commander: The Far Side of the World,,2003,,NO,,
Master of the Flying Guillotine,,1976,,NO,,
May,,2003,,NO,,
McCabe & Mrs. Miller,,1971,,NO,,
Me and My Gal,,1932,,NO,,
Mean Girls,,2004,,NO,,
Mean Streets,,1973,,NO,,
Méditerranée,,1963,,NO,,
Meet Me in St. Louis,,1944,,NO,,
Meet the Parents,,2000,,NO,,
Memories of Murder,,2003,,NO,,
Memories of Underdevelopment,,1968,,NO,,
Menace II Society,,1993,,NO,,
Meshes of the Afternoon,,1943,,NO,,
Metropolis,,1927,,NO,,
Miami Blues,,1990,,NO,,
Midnight Cowboy,,1969,,NO,,
Midnight Express,,1978,,NO,,
Midnight in Paris,,2011,,NO,,
Midnight Run,,1988,,NO,,
Mildred Pierce,,1945,,NO,,
Milk,,2008,,NO,,
Miller's Crossing,,1990,,NO,,
Million Dollar Baby,,2004,,NO,,
Miracle Mile,,1988,,NO,,
Miracle on 34th Street,,1947,,NO,,
Mirror,,1975,,NO,,
Misery,,1990,,NO,,
Mishima: A Life in Four Chapters,,1985,,NO,,
Mission: Impossible - Ghost Protocol,,2011,,NO,,
Mission: Impossible - Rogue Nation,,2015,,NO,,
Mission: Impossible III,,2006,,NO,,
Mississippi Burning,,1988,,NO,,
Mobile Suit Gundam I,,1981,,NO,,
Modern Times,,1936,,NO,,
Mommie Dearest,,1981,,NO,,
Mommy,,2014,,NO,,
Mon Oncle,,1958,,NO,,
Mondo Cane,,1962,,NO,,
Moneyball,,2011,,NO,,
Monkey Shines,,1988,,NO,,
Monsieur Hulot's Holiday,,1953,,NO,,
Monsieur Verdoux,,1947,,NO,,
Monsoon Wedding,,2001,,NO,,
Monsters,,2010,,NO,,
Moolaadé,,2004,,NO,,
Moon,,2009,,NO,,
Moonraker,,1979,,NO,,
Moonrise Kingdom,,2012,,NO,,
Moonstruck,,1987,,NO,,
Morvern Callar,,2002,,NO,,
Mother and Son,,1997,,NO,,
Mother India,,1957,,NO,,
Moulin Rouge!,,2001,,NO,,
Mr. Deeds Goes to Town,,1936,,NO,,
Mr. Nobody,,2009,,NO,,
Mr. Smith Goes to Washington,,1939,,NO,,
Mrs. Miniver,,1942,,NO,,
Ms .45,,1981,,NO,,
Mud,,2013,,NO,,
Mulholland Dr.,,1999,,NO,,
Mulholland Drive,,2001,,NO,,
Munich,,2005,,NO,,
"Murder, My Sweet",,1944,,NO,,
Muriel's Wedding,,1994,,NO,,
Muriel's Wedding,,1994,,NO,,
Murmur of the Heart,,1971,,NO,,
Mutiny on the Bounty,,1935,,NO,,
My Brilliant Career,,1979,,NO,,
My Darling Clementine,,1946,,NO,,
My Dinner with Andre,,1981,,NO,,
My Fair Lady,,1964,,NO,,
My Left Foot: The Story of Christy Brown,,1989,,NO,,
My Man Godfrey,,1936,,NO,,
My Name Is Khan,,2010,,NO,,
My Night at Maud's,,1969,,NO,,
My Own Private Idaho,,1991,,NO,,
Mysterious Skin,,2004,,NO,,
Mystery Men,,1999,,NO,,
Mystery Train,,1989,,NO,,
Mystic River,,2003,,NO,,
Naked,,1993,,NO,,
Naked Lunch,,1991,,NO,,
Nanook of the North,,1922,,NO,,
Napoleon,,1927,,NO,,
Nashville,,1975,,NO,,
Natural Born Killers,,1994,,NO,,
Near Dark,,1987,,NO,,
Nebraska,,2013,,NO,,
Nekromantik,,1987,,NO,,
Network,,1976,,NO,,
Never Say Never Again,,1983,,NO,,
Newsies,,1992,,NO,,
Night and Fog,,1956,,NO,,
Night of the Living Dead,,1968,,NO,,
Night of the Living Dead,,1990,,NO,,
Nights of Cabiria,,1957,,NO,,
Nine 1/2 Weeks,,1986,,NO,,
Nine Queens,,2000,,NO,,
Ninotchka,,1939,,NO,,
"No Fear, No Die",,1990,,NO,,
No Man's Land,,2001,,NO,,
No Time to Die,,2021,,NO,,
No. 12: Heaven and Earth Magic,,1962,,NO,,
Nobody Knows,,2004,,NO,,
North by Northwest,,1959,,NO,,
Nosferatu,,1922,,NO,,
Nosferatu the Vampyre,,1979,,NO,,
Nostalgia for the Light,,2010,,NO,,
Notes on a Scandal,,2006,,NO,,
Nothing,,2003,,NO,,
Notorious,,1946,,NO,,
"Now, Voyager",,1942,,NO,,
"O Brother,  Where Art Thou?",,2000,,NO,,
Observe and Report,,2009,,NO,,
Ocean's Thirteen,,2007,,NO,,
October (Ten Days that Shook the World),,1928,,NO,,
October Sky,,1999,,NO,,
Octopussy,,1983,,NO,,
Odd Man Out,,1947,,NO,,
Of Gods and Men,,2010,,NO,,
Oklahoma!,,1955,,NO,,
Oliver Twist,,1948,,NO,,
Olympia Part One: Festival of the Nations,,1938,,NO,,
Olympia Part Two: Festival of Beauty,,1938,,NO,,
On Her Majesty's Secret Service,,1969,,NO,,
On the Town,,1949,,NO,,
Once,,2007,,NO,,
Once Upon a Time in America,,1984,,NO,,
Once Upon a Time in China,,1991,,NO,,
Once Upon a Time in the West,,1968,,NO,,
Once Were Warriors,,1994,,NO,,
One Million Years B.C.,,1966,,NO,,
One-Eyed Jacks,,1961,,NO,,
Onibaba,,1964,,NO,,
Only Angels Have Wings,,1939,,NO,,
Only Yesterday,,1991,,NO,,
Open Your Eyes,,1997,,NO,,
Orca,,1977,,NO,,
Ordet,,1955,,NO,,
Ordinary People,,1980,,NO,,
Orphans of the Storm,,1921,,NO,,
Orpheus,,1950,,NO,,
Osama,,2003,,NO,,
Ossessione,,1943,,NO,,
Our Hospitality,,1923,,NO,,
Out of Africa,,1985,,NO,,
Out of the Past,,1947,,NO,,
P.S. I Love You,,2007,,NO,,
Paisan,,1946,,NO,,
Pale Rider,,1985,,NO,,
Pandora and the Flying Dutchman,,1951,,NO,,
Pandora's Box,,1929,,NO,,
Paper Moon,,1973,,NO,,
Papillon,,1973,,NO,,
Paradise Now,,2005,,NO,,
Paranormal Activity,,2009,,NO,,
ParaNorman,,2012,,NO,,
"Paris, Texas",,1984,,NO,,
Passenger,,1963,,NO,,
Pat Garrett & Billy the Kid,,1973,,NO,,
Patema Inverted,,2013,,NO,,
Pather Panchali,,1955,,NO,,
Pee-wee's Big Adventure,,1985,,NO,,
Peeping Tom,,1960,,NO,,
Peking Opera Blues,,1986,,NO,,
Pépé le Moko,,1937,,NO,,
Performance,,1970,,NO,,
Persepolis,,2007,,NO,,
Persona,,1966,,NO,,
Peter Ibbetson,,1935,,NO,,
Phantasm,,1979,,NO,,
Phantom of the Paradise,,1974,,NO,,
Philadelphia,,1993,,NO,,
Philomena,,2013,,NO,,
Pickpocket,,1959,,NO,,
Pickup on South Street,,1953,,NO,,
Picnic,,1956,,NO,,
Picnic at Hanging Rock,,1975,,NO,,
Pieces,,1982,,NO,,
Pierrot le Fou,,1965,,NO,,
Pink Flamingos,,1972,,NO,,
Pirates of the Caribbean: At World's End,,2007,,NO,,
Pirates of the Caribbean: Dead Men Tell No Tales,,2017,,NO,,
Pirates of the Caribbean: On Stranger Tides,,2011,,NO,,
PK,,2014,,NO,,
Plan 9 from Outer Space,,1959,,NO,,
"Planes, Trains and Automobiles",,1987,,NO,,
PlayTime,,1967,,NO,,
Point Blank,,1967,,NO,,
Poltergeist,,1982,,NO,,
Pom Poko,,1994,,NO,,
Pootie Tang,,2001,,NO,,
Precious,,2009,,NO,,
Predestination,,2014,,NO,,
Pretty in Pink,,1986,,NO,,
Pretty Woman,,1990,,NO,,
Pride & Prejudice,,2005,,NO,,
Primer,,2004,,NO,,
Prizzi's Honor,,1985,,NO,,
Project A: Part II,,1987,,NO,,
Pulse,,2001,,NO,,
Pump Up the Volume,,1990,,NO,,
Pumpkin,,2002,,NO,,
Pumpkinhead,,1988,,NO,,
Punch-Drunk Love,,2002,,NO,,
Puppet Master,,1989,,NO,,
Pusher,,1996,,NO,,
Pusher II: With Blood on My Hands,,2004,,NO,,
Pusher III,,2005,,NO,,
Q,,1982,,NO,,
Quantum of Solace,,2008,,NO,,
Queen Christina,,1934,,NO,,
Quick Change,,1990,,NO,,
Quiz Show,,1994,,NO,,
Rabbit-Proof Fence,,2002,,NO,,
Raging Bull,,1980,,NO,,
Raise the Red Lantern,,1991,,NO,,
Raising Arizona,,1987,,NO,,
Ran,,1985,,NO,,
Rang De Basanti,,2006,,NO,,
Rashomon,,1950,,NO,,
Ravenous,,1999,,NO,,
Ray,,2004,,NO,,
Re-Animator,,1985,,NO,,
Real Genius,,1985,,NO,,
Real Life,,1979,,NO,,
Rear Window,,1954,,NO,,
Rebecca,,1940,,NO,,
Rebel Without a Cause,,1955,,NO,,
Red Desert,,1964,,NO,,
Red Psalm,,1972,,NO,,
Red River,,1948,,NO,,
Red Sorghum,,1987,,NO,,
Redline,,2010,,NO,,
Reds,,1981,,NO,,
Repo Man,,1984,,NO,,
Repo! The Genetic Opera,,2008,,NO,,
Report,,1967,,NO,,
Repulsion,,1965,,NO,,
Return of the Jedi,,1983,,NO,,
Reversal of Fortune,,1990,,NO,,
Revolver,,2005,,NO,,
Ride Lonesome,,1959,,NO,,
Rififi,,1955,,NO,,
Ringu,,1998,,NO,,
Rio Bravo,,1959,,NO,,
Rio Grande,,1950,,NO,,
Road to Perdition,,2002,,NO,,
Rocco and His Brothers,,1960,,NO,,
Rocky,,1976,,NO,,
Roger & Me,,1989,,NO,,
Roma,,2018,,NO,,
Roman Holiday,,1953,,NO,,
"Rome, Open City",,1945,,NO,,
Romper Stomper,,1992,,NO,,
Rope,,1948,,NO,,
Rosemary's Baby,,1968,,NO,,
Rosetta,,1999,,NO,,
Roxanne,,1987,,NO,,
Run Lola Run,,1998,,NO,,
Rush,,2013,,NO,,
Russian Ark,,2002,,NO,,
Rust and Bone,,2012,,NO,,
Sabotage,,1937,,NO,,
Sabrina,,1954,,NO,,
Safe,,1995,,NO,,
Safety Last!,,1923,,NO,,
"Salò, or the 120 Days of Sodom",,1975,,NO,,
Salt of the Earth,,1954,,NO,,
Salvador,,1986,,NO,,
San Pietro,,1945,,NO,,
Sanjuro,,1962,,NO,,
Sans Soleil,,1983,,NO,,
Sansho the Bailiff,,1954,,NO,,
Santa Sangre,,1989,,NO,,
Satantango,,1994,,NO,,
Saturday Night and Sunday Morning,,1960,,NO,,
Saturday Night Fever,,1977,,NO,,
Save the Green Planet!,,2003,,NO,,
Say Anything...,,1989,,NO,,
Scanners,,1981,,NO,,
Scarface,,1932,,NO,,
Scarface,,1983,,NO,,
Scent of a Woman,,1992,,NO,,
Schindler's List,,1993,,NO,,
Schizopolis,,1997,,NO,,
