Title,Author,ISBN#,ISBN13,Date Started,Date Finished,Read?,Favorite?,
The Hobbit,J. R. R. Tolkien,,,11/27/21,12/07/21,YES,YES,"I have read this book four times. Once in middle school, once in high school, once in 2017, and again in 2021. This classic tale never gets old.

Such a wonderful book. I am going to read this to my children.

I give this book 5 out of 5 fat ponies."
The Horse and His Boy,C.S. Lewis,,,,,YES,NO,
The Last Battle,C.S. Lewis,,,,,YES,NO,
"The Lion, the Witch and the Wardrobe",C.S. Lewis,,,,,YES,NO,
The Lord of the Rings,J. R. R. Tolkien,,,,,YES,YES,
The Magician's Nephew,C.S. Lewis,,,,,YES,NO,
The McKinsey Edge,Shu Hatori,,,,,YES,NO,
The McKinsey Mind,Ethan M. Rasiel,,,,,YES,NO,
The McKinsey Way,Ethan M. Rasiel,,,,,YES,NO,
The Miserable Mill,Lemony Snicket,,,,,YES,NO,
The Reptile Room,Lemony Snicket,,,,,YES,NO,
The Satanic Bible,Anton Szandor LaVey,,,,,YES,NO,
The Science of Success,Charles G. Koch,,,,,YES,NO,
The Silver Chair,C.S. Lewis,,,,,YES,NO,
The Subtle Art of Not Giving a F*ck,Mark Manson,,,,,YES,YES,
The Ultimate Sales Machine,Chet Holmes,,,,,YES,YES,
The Voyage of the Dawn Treader,C.S. Lewis,,,,,YES,NO,
The Wide Window,Lemony Snicket,,,,,YES,NO,
This is Marketing,Seth Godin,,,,,YES,NO,
Why We Sleep,Matthew Walker,,,,,YES,YES,
100 Ways to Create Wealth,"Sam Beckford, Steve Chandler",,,,,,,
150 Questions for a Guerrilla,Alberto Bayo,,,,,,,
1919,John Dos Passos,,,,,,,
2666,Roberto Bolaño,,,,,,,
27 Essential Principles of Story,Daniel Joshua Rubin,,,,,,,
33 Strategies of War,Robert Greene,,,,,,,
"84, Charing Cross Road",Helene Hanff,,,,,,,
A Beautiful Mind,Sylvia Nasar,,,,,,,
A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter,,,,,,,
A Better Man,Michael Ian Black,,,,,,,
A Book of One’s Own,Thomas Mallon,,,,,,,
A Boy at the Hogarth Press,Richard Kennedy,,,,,,,
A Bullet in the Ballet,Caryl Brahms and S. J. Simon ,,,,,,,
A Canticle for Leibowitz,Walter M. Miller Jr.,,,,,,,
